ID,Name,NetWorth,x,y,z,sector or company,industries,connections,Age,Source_or_company_extended,Philanthropy_Score,Self_Made_Score,Citizenship,Marital_Status,Children,connection_names_matched
34,Ken Griffin,43022661441,-0.94157755,0.5065151,0.2583185,Hedge funds,hedge funds/finance,3139/115/70/120/452,57,Hedge funds/ Self Made,2,8,United States,Divorced,3,Anne Dinning/David Tepper/Marilyn Simons & family/Steve Cohen/John Overdeck
35,Iris Fontbona & family,42681887886,-1.4375937,-0.42552677,0.011725247,Mining,mining/materials,129/95/1118,83,Mining,,,Chile,Widowed,3,Andrew Forrest & family/Gina Rinehart/Patrice Motsepe
36,Li Ka-shing,42681887886,0.70542,0.11847262,-0.41676942,Diversified,Diversified,266/494/2485/1901,97,Diversified/ Self Made,,,Hong Kong,Widowed,2,Douglas Leone/Michael Kadoorie/Samuel Chen/Solina Chau
37,Lukas Walton,42000340774,-1.3622609,0.75291324,-0.12321518,Walmart,retail/logistics,9/8/121,39,Walmart,2,1,United States,Married,,Jim Walton & family/Rob Walton & family/Stanley Kroenke
38,Giovanni Ferrero,41403987051,0.030688703,1.030185,0.8488133,Nutella  chocolates,food/confectionery,,61,Nutella/ chocolates,,4,Italy,Married,2,
39,Ma Huateng,41318793662,1.4892392,1.1386898,-1.152661,Online games,Online games,1391/1242/499/206,54,Online games/ Self Made,,,China,Married,,Martin Lau/Neil Shen/Wang Xing/Zhang Zhidong
40,Mark Mateschitz,38933378770,0.36472228,1.1709934,1.5639238,Red Bull,beverages/consumer goods,,34,Red Bull,,,Austria,Single,,
41,Jacqueline Mars,38848185381,-1.0218407,1.1907355,-0.18846971,Candy  pet food,food/beverages,42/281/282/280/283,86,Candy/ pet food,,2,United States,Divorced,3,John Mars/Marijke Mars/Pamela Mars/Valerie Mars/Victoria Mars
42,John Mars,38848185381,-1.1931632,0.89691204,-0.26025814,Candy  pet food,food/beverages,41/281/282/280/283,90,Candy/ pet food,,2,United States,Married,3,Jacqueline Mars/Marijke Mars/Pamela Mars/Valerie Mars/Victoria Mars
43,Gianluigi Aponte,37314704379,-0.46409553,1.1010785,1.4514402,Shipping,logistics/shipping,59/48/1186/44/562,85,Shipping/ Self Made,,,Switzerland,Married,2,Idan Ofer/Klaus-Michael Kuehne/Panagiotis Tsakos & family/Rafaela Aponte-Diamant/Yang Shaopeng
44,Rafaela Aponte-Diamant,37314704379,0.67064923,1.5180312,0.8918584,Shipping,logistics/shipping,43/59/48/1186,81,Shipping/ Self Made,,,Switzerland,Married,2,Gianluigi Aponte/Idan Ofer/Klaus-Michael Kuehne/Panagiotis Tsakos & family
45,Andrea Pignataro,36207190322,0.00029593112,0.36803782,0.4751411,Financial software,software/cloud/finance,,55,Financial software/ Self Made,,,Italy,Married,,
46,Eric Schmidt,35866416766,-0.48023456,0.6597998,-0.35702124,Google,internet/ai/advertising,1/2/199,71,Google/ Self Made,3,6,United States,Married,2,Larry Page/Sergey Brin/Vinod Khosla
47,Abigail Johnson,34503322542,-0.4632198,1.0630021,0.5492636,Fidelity,finance/asset management,211/336,64,Fidelity,1,4,United States,Married,2,Elizabeth Johnson/Michael Kim
48,Klaus-Michael Kuehne,34503322542,0.3815146,1.1808048,1.2706792,Shipping,logistics/shipping,934/297/44,88,Shipping,,,Germany,Married,,Julia Thiele-Schuerhoff & family/Nadia Thiele & family/Rafaela Aponte-Diamant
49,Stephen Schwarzman,34247742375,-0.5925987,0.8692244,-0.148686,Investments,investment/finance,977/1392/1231/436,79,Investments/ Self Made,2,8,United States,Married,3,Hamilton James & family/J. Tomilson Hill/Jim Breyer/Jonathan Gray
50,Henry Samueli,33992162208,-0.67376494,1.0917823,-0.5491553,Semiconductors,semiconductors/hardware,7,71,Semiconductors/ Self Made,2,9,United States,Married,3,Michael Dell
51,Alain Wertheimer,33566195263,-1.2911689,2.0140533,-0.19647238,Chanel,luxury/fashion,52,77,Chanel,,,France,Married,3,Gerard Wertheimer
52,Gerard Wertheimer,33566195263,0.06033267,1.5627013,1.569798,Chanel,luxury/fashion,,,,,,,,,
53,William Ding,33055034929,1.7876325,0.9378035,-0.7346586,Online games,Online games,1335/39/1784/206,54,Online games/ Self Made,,,China,,,Kwon Hyuk-bin/Ma Huateng/Yoo Jung-hyun/Zhang Zhidong
54,Jean-Louis van der Velde,32373487817,1.1562157,0.66162956,-0.6311387,Cryptocurrency,cryptocurrency/fintech,345/249/22/783/55/107,62,Cryptocurrency/ Self Made,,,Netherlands,,,Brian Armstrong/Chris Larsen/Giancarlo Devasini/Michael Saylor/Paolo Ardoino/Stuart Hoegner
55,Paolo Ardoino,32373487817,0.58672994,0.9944262,1.0017605,Cryptocurrency,cryptocurrency/fintech,345/249/22/54/783/107,41,Cryptocurrency/ Self Made,,,Italy,,,Brian Armstrong/Chris Larsen/Giancarlo Devasini/Jean-Louis van der Velde/Michael Saylor/Stuart Hoegner
56,Savitri Jindal & family,31947520872,1.2352309,1.2372549,-0.14674708,Steel,mining/materials,1183/1038/80/1403/371,76,Steel,,,India,Widowed,9,Barry Zekelman/Fang Wei/Lakshmi Mittal/Rufino Vigil Gonzalez/Viktor Rashnikov
57,Alexey Mordashov & family,31436360538,0.2828908,1.2408803,1.1075544,Steel  investments,investment/finance/mining/materials,1438/2384/362/1281,60,Steel/ investments/ Self Made,,,Russia,Married,7,Gerald Frere/Juan Maria Riberas Mera/Roman Abramovich & family/Segolene Gallienne
58,Miriam Adelson & family,30669620037,-1.153983,1.0756723,-0.5907879,Casinos,gambling/entertainment,523/2364/990,80,Casinos,2,2,United States,Widowed,5,Karen Pritzker/Lim Kok Thay/Pansy Ho
59,Idan Ofer,30243653093,-1.1682811,1.205299,0.83258367,Shipping,logistics/shipping,62/125/48/44,70,Shipping,,,Israel,Married,5,Eyal Ofer/John Fredriksen/Klaus-Michael Kuehne/Rafaela Aponte-Diamant
60,Pham Nhat Vuong,30073266315,0.77860713,0.3244709,0.067872494,Diversified,Diversified,3110/36/20/1115/1547,57,Diversified/ Self Made,,,Vietnam,Married,3,Hartati Murdaya/Li Ka-shing/Mukesh Ambani/Pham Thu Huong/Pham Thuy Hang
61,Len Blavatnik,29647299370,-0.3882938,0.50223815,0.121059366,Music  chemicals,media/entertainment,1513/199,68,Music/ chemicals/ Self Made,2,9,United States,Married,,Jay-Z/Vinod Khosla
62,Eyal Ofer,29647299370,-0.27992612,1.1531637,0.8855829,Real estate  shipping,real estate/logistics/shipping,1776/1064/59/525,75,Real estate/ shipping,,,Israel,Married,4,Arne Alexander Wilhelmsen/David Wertheim/Idan Ofer/Thomas Pritzker
63,He Xiangjian & family,29647299370,0.89417183,0.12006608,-0.67365825,Home appliances,Home appliances,2360/2967,83,Home appliances/ Self Made,,,China,Married,3,Fang Hongbo/Huang Jian
64,Thomas Frist Jr & family,29050945647,-2.0399945,0.7573155,-0.6422507,Hospitals,healthcare,587,87,Hospitals/ Self Made,2,7,United States,Married,3,Chen Bang
65,Colin Huang,28965752258,1.2880725,0.74279535,-1.06334,E-commerce,e-commerce/retail,86/234/1242/443,46,E-commerce/ Self Made,,,China,,,Jack Ma/Joseph Tsai/Neil Shen/Tatyana Kim
66,Chen Tianshi,28710172091,0.7169622,1.0224254,-0.48578084,Semiconductors,semiconductors/hardware,50/6/454/1577,41,Semiconductors/ Self Made,,,China,,,Henry Samueli/Jensen Huang/Kwak Dong Shin/Lisa Su
67,Eduardo Saverin,28369398535,1.9238166,-0.32231557,-0.2246368,Facebook,social media/advertising/ai,346/1205/5/1783,44,Facebook/ Self Made,,,Brazil,Married,1,Dustin Moskovitz/Jeff Rothschild/Mark Zuckerberg/Sheryl Sandberg
68,Jay Y. Lee,28284205146,0.5617135,0.31869853,-0.36129203,Samsung,electronics/semiconductors/manufacturing,284/261/269,57,Samsung,,,South Korea,Divorced,2,Hong Ra-hee/Lee Boo-jin/Lee Seo-hyun
69,MacKenzie Scott,28199011757,-0.27493277,0.8002486,-0.58526206,Amazon,e-commerce/cloud/logistics,266/3/109/260,56,Amazon,5,3,United States,Divorced,4,Douglas Leone/Jeff Bezos/John Doerr/Mark Stevens
70,Marilyn Simons & family,27687851423,-0.9088013,0.67172563,0.21813133,Hedge funds,hedge funds/finance,3139/115/452/34/120,75,Hedge funds,5,1,United States,Widowed,,Anne Dinning/David Tepper/John Overdeck/Ken Griffin/Steve Cohen
71,Lyndal Stephens Greth & family,27602658034,-0.81751764,0.37953657,-0.25455776,Oil & gas,energy/oil and gas,134/244/245,51,Oil & gas,,3,United States,Married,,Harold Hamm & family/Michael Sabel/Robert Pender
72,Aliko Dangote,27432271256,-0.24225858,0.7323326,1.6363729,Cement  sugar,construction/materials,180,69,Cement/ sugar/ Self Made,,,Nigeria,Divorced,3,Abdulsamad Rabiu
73,Robert Pera,27006304311,-0.8913676,1.1041653,-0.51371896,Wireless networking,Wireless networking,401/1546/3026,48,Wireless networking/ Self Made,1,8,United States,Single,,David Shaw/Joseph Edelman/Nicholas Woodman
74,Zheng Shuliang & family,26835917533,1.7080644,0.7084428,-1.0352523,Aluminum products,mining/materials,1706,80,Aluminum products,,,China,Widowed,3,Zeng Chaoyi
75,Michal Strnad,26409950588,0.6305815,1.1268886,1.477859,Defense Contracting,Defense Contracting,,33,Defense Contracting,,,Czech Republic,Married,1,
76,Elaine Marshall & family,26324757199,-0.8178766,0.7939664,-0.003477633,Koch Inc.,industrial/energy/chemicals,25/23,83,Koch Inc.,1,2,United States,,2,Charles Koch & family/Julia Koch & family
77,Huang Shilin,26154370421,0.38141346,0.21125138,-0.42398128,Batteries,batteries/energy storage,239/147/29/119,59,Batteries/ Self Made,,,China,,,Li Ping/Pei Zhenhua/Robin Zeng/Yu Yong
78,Melinda French Gates,25643210087,-0.8411397,1.483292,-0.5362404,Microsoft,software/cloud/ai,1574/13,61,Microsoft,5,2,United States,Divorced,3,Reid Hoffman/Steve Ballmer
79,Vladimir Potanin,25302436531,0.5608199,1.1193609,1.0078837,Metals,social media/advertising/ai/mining/materials,716/1678/821/877/362/957,65,Metals/ Self Made,,,Russia,Married,7,Alexander Abramov/Alexander Frolov/Andrei Kozitsyn/Igor Altushkin/Roman Abramovich & family/Xiang Guangda
80,Lakshmi Mittal,25302436531,0.21894602,0.99196887,1.3504077,Steel,mining/materials,2254/56/371,75,Steel,,,India,Married,2,Jose Maria Aristrain/Savitri Jindal & family/Viktor Rashnikov
81,Andreas von Bechtolsheim & family,25302436531,-0.41757527,0.7335277,-0.35132527,Google,internet/ai/advertising,338/710/1/2,70,Google/ Self Made,,,Germany,Single,,David Cheriton/Jayshree Ullal/Larry Page/Sergey Brin
82,Vagit Alekperov,25132049753,0.3657201,0.8395465,0.20996742,Oil,energy/oil and gas,2776/3239/310/3269/327,75,Oil/ Self Made,,,Russia,Married,1,Vladimir Bogdanov/Anton Fedun/Carrie Perrodo & family/Ekaterina Fedun/Leonid Fedun
83,Reinhold Wuerth & family,24194922474,0.15793914,0.7609116,0.69735867,Fasteners,Fasteners,,91,Fasteners/ Self Made,,,Germany,Married,3,
84,Susanne Klatten,24109729085,0.09811158,0.7087842,1.0378212,BMW  pharmaceuticals,automotive/healthcare/pharmaceuticals,1406/1482/88/2109,64,BMW/ pharmaceuticals,,,Germany,Married,3,Alberto Palatchi/Harsh Goenka/Stefan Quandt/Gregg Hymowitz
85,Leonid Mikhelson & family,24109729085,0.18913499,1.3303051,0.60600233,Gas  chemicals,energy/oil and gas,110/2470,70,Gas/ chemicals/ Self Made,,,Russia,Married,2,Gennady Timchenko/Leonid Simanovsky
86,Jack Ma,24109729085,1.4677141,1.1925907,-0.23613936,E-commerce,e-commerce/retail,3/1385/527,61,E-commerce/ Self Made,,,China,Married,,Jeff Bezos/Jerry Yang/Lu Weiding
87,Peter Thiel,24109729085,-1.366822,0.98478365,-0.9302274,Facebook  investments,social media/advertising/ai/investment/finance,0/5/1574,58,Facebook/ investments/ Self Made,1,8,United States,Married,1,Elon Musk/Mark Zuckerberg/Reid Hoffman
88,Stefan Quandt,24109729085,-0.16107303,0.6717449,1.1211945,BMW,automotive,1406/84/2109,60,BMW,,,Germany,Married,1,Alberto Palatchi/Susanne Klatten/Gregg Hymowitz
89,John Tu,23172601806,-1.1707324,1.5222659,-0.6017976,Computer hardware,Computer hardware,2336/90,84,Computer hardware/ Self Made,1,9,United States,Married,2,Charles Liang/David Sun
90,David Sun,23172601806,-1.1563706,1.4890634,-0.6597021,Computer hardware,Computer hardware,2336/89,74,Computer hardware/ Self Made,1,10,United States,Married,2,Charles Liang/John Tu
91,François Pinault & family,22831828250,-0.04487262,0.7054223,0.36716902,Luxury goods,social media/luxury/fashion/retail,185/1070/1073/2265,89,Luxury goods/ Self Made,,,France,Married,3,Johann Rupert & family/Patrizio Bertelli/Miuccia Prada/Pantaleo Dell'Orco
92,Vicky Safra & family,22405861305,-0.7281899,0.41875213,0.27622712,Banking,finance,1274,73,Banking,,,Greece,Widowed,4,Michiel Le Roux
93,Cyrus Poonawalla,22235474527,0.78636396,0.59909576,0.40814972,Vaccines,healthcare/pharmaceuticals,802/1410/824/825/1148,85,Vaccines,,,India,Widowed,1,Jiang Rensheng & family/Mahima Datla/Rajiv Bajaj/Sanjiv Bajaj/Shekhar Bajaj
94,Dilip Shanghvi,22150281138,0.79385835,0.026989266,0.2839566,Pharmaceuticals,healthcare/pharmaceuticals,1128/94/466/139,70,Pharmaceuticals/ Self Made,,,India,Married,2,Dennis Bastas/Dilip Shanghvi/Rekha Jhunjhunwala/Zhong Huijuan
95,Gina Rinehart,22065087749,0.38864067,1.1137822,0.8198349,Mining,mining/materials,129/971/1050/1118/1334,72,Mining,,,Australia,Widowed,4,Andrew Forrest & family/Angela Bennett/Clive Palmer/Patrice Motsepe/Robert Friedland
96,Israel Englander,21979894360,-0.8852685,0.54109865,0.46483082,Hedge funds,hedge funds/finance,3139/115/452/34/70/120,77,Hedge funds/ Self Made,1,9,United States,Married,3,Anne Dinning/David Tepper/John Overdeck/Ken Griffin/Marilyn Simons & family/Steve Cohen
97,Suleiman Kerimov & family,21894700971,0.25102413,0.8077685,0.7959551,Gold,mining/materials,2420,60,Gold/ Self Made,,,Russia,Married,3,Vladimir Leshchikov
98,Wang Weixiu & family,21809507582,0.9390248,0.596641,-0.48997933,Machinery,Machinery,815/2246/2595/1672,75,Machinery/ Self Made,,,China,,,Liu Sheng/Song Fei/Wu Bo/Zhang Xinghai & family
99,Vladimir Lisin,21724314193,0.35470814,1.1766881,1.1712619,Steel  transport,mining/materials,,70,Steel/ transport/ Self Made,,,Russia,Married,3,
100,Shiv Nadar,21724314193,1.6210355,0.92938733,0.30953413,Software services,software/cloud,1163/431/1680/1492,80,Software services/ Self Made,,,India,Married,1,N.R. Narayana Murthy/Azim Premji/Nandan Nilekani/Senapathy Gopalakrishnan
101,Henry Nicholas III,21724314193,-1.2016108,0.5481924,-0.4419267,Semiconductors,semiconductors/hardware,50/6/1718/7,66,Semiconductors/ Self Made,1,8,United States,Divorced,3,Henry Samueli/Jensen Huang/Kenneth Hao/Michael Dell
102,Vinod Adani,21639120804,1.5461483,0.24142131,0.9264052,Infrastructure  commodities,Infrastructure/commodities,24,77,Infrastructure/ commodities/ Self Made,,,Cyprus,Married,,Gautam Adani
103,Lei Jun,21468734026,0.48548988,0.55542624,-0.15331118,Smartphones  automobiles,automotive,208/2767/1602/328,56,Smartphones/ automobiles/ Self Made,,,China,Married,2,Alisher Usmanov/David Xueling Li/Li Wanqiang/Lin Bin
104,Emmanuel Besnier,21383540637,-0.24817684,0.66602755,0.36313722,Cheese,Cheese,688/405/404,55,Cheese,,,France,,,Emanuele (Lino) Saputo & family/Jean-Michel Besnier/Marie Besnier Beauvalot
105,Phil Knight & family,21383540637,-1.0341666,1.9597586,-0.29041022,Nike,apparel/sportswear,1078/2690/1453,88,Nike/ Self Made,4,8,United States,Married,3,Jim Davis/Paul Fireman/Tim Cook
106,Rick Cohen & family,21127960470,-0.6779828,0.45447096,0.2530604,Warehouse automation,Warehouse automation,1260/2612/1358/1068/1871,73,Warehouse automation,1,5,United States,Married,3,Ankur Jain/Chaitanya Desai/William Chisholm/David Blitzer/Leonard Abess
107,Stuart Hoegner,21042767081,-1.0007145,0.9920585,0.5227685,Cryptocurrency,cryptocurrency/fintech,345/249/22/54/783/55,,Cryptocurrency/ Self Made,,,Canada,,,Brian Armstrong/Chris Larsen/Giancarlo Devasini/Jean-Louis van der Velde/Michael Saylor/Paolo Ardoino
108,Christy Walton,20872380303,-1.1999315,0.89579487,-0.31903705,Walmart,retail/logistics,9/37/8/121,77,Walmart,1,1,United States,Widowed,1,Jim Walton & family/Lukas Walton/Rob Walton & family/Stanley Kroenke
109,John Doerr,20787186914,-0.8536736,1.7096486,-0.85594386,Venture capital,investment/finance,,74,Venture capital/ Self Made,2,8,United States,Married,2,
110,Gennady Timchenko,20616800136,0.582894,0.7388506,0.22936271,Oil  gas,energy/oil and gas,85/2470/900,73,Oil/ gas/ Self Made,,,Russia,Married,3,Leonid Mikhelson & family/Leonid Simanovsky/Nikolai Buinov
111,Wang Chuanfu,20446413358,0.5051061,0.31205767,-0.08622584,Batteries  automobiles,automotive/batteries/energy storage,143/942,60,Batteries/ automobiles/ Self Made,,,China,Married,,Lu Xiangyang/Xia Zuoquan
112,Takemitsu Takizaki,20361219969,0.8185066,0.46481398,-0.7384495,Sensors,Sensors,,80,Sensors/ Self Made,,,Japan,Married,,
113,Dang Yanbao,20361219969,0.6535728,0.45184544,-0.39462978,Coal,mining/materials,1431/175,53,Coal/ Self Made,,,China,Married,1,Dewi Kam/Low Tuck Kwong
114,Harry Triguboff,20276026580,0.9551729,-0.8821019,-0.73116684,Real estate,real estate,209/1111/136/1966/186,93,Real estate/ Self Made,,,Australia,Married,2,Joseph Lau/Kwek Leng Beng/Kwong Siu-hing/Manuel Villar/Peter Woo
115,David Tepper,20190833191,-1.1205316,0.20971394,0.097927146,Hedge funds,hedge funds/finance,3139/452/34/120/70,68,Hedge funds/ Self Made,2,8,United States,Married,3,Anne Dinning/John Overdeck/Ken Griffin/Steve Cohen/Marilyn Simons & family
116,Rupert Murdoch & family,20190833191,-1.1615157,1.4544461,0.46269292,Newspapers  TV network,media/entertainment,828/652/205/1451/1783,95,Newspapers/ TV network,1,5,United States,Married,6,George Lucas/Jack Dorsey/Laurene Powell Jobs/Safra Catz/Sheryl Sandberg
117,Daniel Gilbert,20105639802,-0.43901342,0.36080995,-0.05177188,Rocket Mortgage,Rocket Mortgage,1297/943/2580/356,64,Rocket Mortgage/ Self Made,2,8,United States,Divorced,5,David Zalik/Jennifer Gilbert/Magic Johnson/Micky Arison
118,Ernest Garcia II,19850059635,-0.92855334,0.997964,-0.5695199,Used cars,automotive,277/2847,68,Used cars/ Self Made,1,9,United States,Married,,Ernest Garcia III/Mike Speiser
119,Yu Yong,19850059635,1.0122947,0.8144843,-0.4686038,Mining,mining/materials,77/239/147/29,65,Mining/ Self Made,,,China,Married,,Huang Shilin/Li Ping/Pei Zhenhua/Robin Zeng
120,Steve Cohen,19594479468,-0.8009862,0.5882393,0.6096189,Hedge funds,hedge funds/finance,115/508/34/70/483,69,Hedge funds/ Self Made,3,8,United States,Married,7,David Tepper/George Soros/Ken Griffin/Marilyn Simons & family/Stanley Druckenmiller
121,Stanley Kroenke,18912932356,-0.95219564,0.66759425,0.12664625,Sports  real estate,real estate/logistics/shipping/sports/entertainment,9/37/140/8,78,Sports/ real estate/ Self Made,1,7,United States,Married,2,Jim Walton & family/Lukas Walton/Philip Anschutz/Rob Walton & family
122,Todd Graves,18742545578,-0.76858383,0.74966145,0.090746105,Fast food,food/beverages,1609/635/2851/3386/636/3029,54,Fast food/ Self Made,2,8,United States,Married,2,Jack Cowin/Peggy Cherng/Tope Awotona/Zach McLeroy/Andrew Cherng/Tony Townley
123,Chen Jianhua,18486965411,0.7407405,0.37525764,-0.3461765,Chemicals,Chemicals,586/1881/2735/1212,55,Chemicals/ Self Made,,,China,Married,2,Fan Hongwei/Lee Dong-chae/Soegiarto Adikoesoemo/Vivek Jain
124,Diane Hendricks,18486965411,-1.297016,1.6855404,-0.17546189,Building supplies,construction/materials,,79,Building supplies/ Self Made,1,9,United States,Widowed,7,
